horizon,split,origin_timestamp,target_timestamp,y_true,y_pred,model,baseline_rule,baseline_source_timestamp,source_lag_from_origin_h,is_evaluable,residual,abs_error,squared_error,model_display,method,alpha,nominal_coverage,q_hat,lower,upper,interval_width,covered,miss_lower,miss_upper,interval_score,method_display,label,short_name,color,y_pred_reference,lower_quantile,upper_quantile,q_level,y_pred_quantile_median,y_pred_mapie,lower_prelim,upper_prelim,raw_interval_width,y_pred_point,baseline_pred,baseline_lower,baseline_upper
24,validation,2024-06-25 00:00:00,2024-06-26 00:00:00,69.0,51.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 00:00:00,0.0,True,18.0,18.0,324.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,24.0,78.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,51.0,,,,,,,,,,51.0,24.0,78.0
24,validation,2024-06-25 01:00:00,2024-06-26 01:00:00,60.0,50.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 01:00:00,0.0,True,10.0,10.0,100.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,23.0,77.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,50.0,,,,,,,,,,50.0,23.0,77.0
24,validation,2024-06-25 02:00:00,2024-06-26 02:00:00,56.0,43.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 02:00:00,0.0,True,13.0,13.0,169.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,16.0,70.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,43.0,,,,,,,,,,43.0,16.0,70.0
24,validation,2024-06-25 03:00:00,2024-06-26 03:00:00,55.0,41.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 03:00:00,0.0,True,14.0,14.0,196.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,14.0,68.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,41.0,,,,,,,,,,41.0,14.0,68.0
24,validation,2024-06-25 04:00:00,2024-06-26 04:00:00,57.0,41.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 04:00:00,0.0,True,16.0,16.0,256.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,14.0,68.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,41.0,,,,,,,,,,41.0,14.0,68.0
24,validation,2024-06-25 05:00:00,2024-06-26 05:00:00,52.0,33.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 05:00:00,0.0,True,19.0,19.0,361.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,6.0,60.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,33.0,,,,,,,,,,33.0,6.0,60.0
24,validation,2024-06-25 06:00:00,2024-06-26 06:00:00,38.0,24.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 06:00:00,0.0,True,14.0,14.0,196.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-3.0,51.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,24.0,,,,,,,,,,24.0,-3.0,51.0
24,validation,2024-06-25 07:00:00,2024-06-26 07:00:00,35.0,19.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 07:00:00,0.0,True,16.0,16.0,256.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,-8.0,46.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,19.0,,,,,,,,,,19.0,-8.0,46.0
24,validation,2024-06-25 08:00:00,2024-06-26 08:00:00,51.0,28.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 08:00:00,0.0,True,23.0,23.0,529.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,1.0,55.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,28.0,,,,,,,,,,28.0,1.0,55.0
24,validation,2024-06-25 09:00:00,2024-06-26 09:00:00,56.0,31.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 09:00:00,0.0,True,25.0,25.0,625.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,4.0,58.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,31.0,,,,,,,,,,31.0,4.0,58.0
24,validation,2024-06-25 10:00:00,2024-06-26 10:00:00,65.0,55.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 10:00:00,0.0,True,10.0,10.0,100.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,28.0,82.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,55.0,,,,,,,,,,55.0,28.0,82.0
24,validation,2024-06-25 11:00:00,2024-06-26 11:00:00,72.0,56.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 11:00:00,0.0,True,16.0,16.0,256.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,29.0,83.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,56.0,,,,,,,,,,56.0,29.0,83.0
24,validation,2024-06-25 12:00:00,2024-06-26 12:00:00,73.0,60.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 12:00:00,0.0,True,13.0,13.0,169.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,33.0,87.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,60.0,,,,,,,,,,60.0,33.0,87.0
24,validation,2024-06-25 13:00:00,2024-06-26 13:00:00,74.0,64.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 13:00:00,0.0,True,10.0,10.0,100.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,37.0,91.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,64.0,,,,,,,,,,64.0,37.0,91.0
24,validation,2024-06-25 14:00:00,2024-06-26 14:00:00,76.0,65.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 14:00:00,0.0,True,11.0,11.0,121.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,38.0,92.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,65.0,,,,,,,,,,65.0,38.0,92.0
24,validation,2024-06-25 15:00:00,2024-06-26 15:00:00,79.0,74.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 15:00:00,0.0,True,5.0,5.0,25.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,47.0,101.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,74.0,,,,,,,,,,74.0,47.0,101.0
24,validation,2024-06-25 16:00:00,2024-06-26 16:00:00,79.0,72.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 16:00:00,0.0,True,7.0,7.0,49.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,45.0,99.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,72.0,,,,,,,,,,72.0,45.0,99.0
24,validation,2024-06-25 17:00:00,2024-06-26 17:00:00,72.0,73.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 17:00:00,0.0,True,-1.0,1.0,1.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,46.0,100.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,73.0,,,,,,,,,,73.0,46.0,100.0
24,validation,2024-06-25 18:00:00,2024-06-26 18:00:00,70.0,73.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 18:00:00,0.0,True,-3.0,3.0,9.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,46.0,100.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,73.0,,,,,,,,,,73.0,46.0,100.0
24,validation,2024-06-25 19:00:00,2024-06-26 19:00:00,61.0,76.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 19:00:00,0.0,True,-15.0,15.0,225.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,49.0,103.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,76.0,,,,,,,,,,76.0,49.0,103.0
24,validation,2024-06-25 20:00:00,2024-06-26 20:00:00,66.0,71.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 20:00:00,0.0,True,-5.0,5.0,25.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,44.0,98.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,71.0,,,,,,,,,,71.0,44.0,98.0
24,validation,2024-06-25 21:00:00,2024-06-26 21:00:00,61.0,65.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 21:00:00,0.0,True,-4.0,4.0,16.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,38.0,92.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,65.0,,,,,,,,,,65.0,38.0,92.0
24,validation,2024-06-25 22:00:00,2024-06-26 22:00:00,67.0,56.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 22:00:00,0.0,True,11.0,11.0,121.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,29.0,83.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,56.0,,,,,,,,,,56.0,29.0,83.0
24,validation,2024-06-25 23:00:00,2024-06-26 23:00:00,59.0,62.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-25 23:00:00,0.0,True,-3.0,3.0,9.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,35.0,89.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,62.0,,,,,,,,,,62.0,35.0,89.0
24,validation,2024-06-26 00:00:00,2024-06-27 00:00:00,60.0,69.0,baseline_seasonal_naive,same_hour_previous_day,2024-06-26 00:00:00,0.0,True,-9.0,9.0,81.0,Modelo base ingenuo estacional,split_conformal,0.2,0.8,27.0,42.0,96.0,54.0,True,False,False,54.0,Split conformal,Baseline + split conformal,Baseline,tab:gray,69.0,,,,,,,,,,69.0,42.0,96.0
